Ano,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF,CPMF,COFINS,COFINS - FINANCEIRAS,COFINS - DEMAIS,CONTRIBUIÇÃO PARA O PIS/PASEP,CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,CSLL,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS (parc. não dedutível),CIDE-COMBUSTÍVEIS,CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,CONTRIBUICÕES PARA FUNDAF,REFIS,PAES,"RETENÇÃO NA FONTE - LEI 10.833, Art. 30",PAGAMENTO UNIFICADO,OUTRAS RECEITAS ADMINISTRADAS,DEMAIS RECEITAS,RECEITA PREVIDENCIÁRIA,RECEITA PREVIDENCIÁRIA - PRÓPRIA,RECEITA PREVIDENCIÁRIA - DEMAIS,ADMINISTRADAS POR OUTROS ÓRGÃOS
2000.0,MG,447682435.0,67159.0,169114300.0,130140996.0,504983210.0,213608876.0,573791280.0,246672778.0,48133361.0,816707291.0,812009340.0,237687773.0,133112381.0,123619829.0,44501577.0,42000853.0,0.0,212041339.0,2450816725.0,0.0,0.0,571182389.0,0.0,0.0,533915119.0,0.0,0.0,0.0,0.0,288950738.0,0.0,66130029.0,0.0,0.0,0.0,0.0,12066467.0,0.0,0.0,0.0,0.0,0.0
2000.0,MS,3264700.0,33503.0,10434847.0,2282698.0,0.0,1907971.0,7150554.0,30810332.0,47519.0,37778030.0,49412585.0,6503506.0,648046.0,3254742.0,1117074.0,13535969.0,0.0,2854228.0,140039250.0,0.0,0.0,41393703.0,0.0,0.0,28911044.0,0.0,0.0,0.0,0.0,44906027.0,0.0,953119.0,0.0,0.0,0.0,0.0,1618963.0,0.0,0.0,0.0,0.0,0.0
2000.0,MT,7677782.0,9412.0,19362253.0,25573644.0,0.0,3867441.0,7299837.0,19968451.0,31720.0,52294392.0,62662741.0,5804654.0,13311395.0,4740804.0,1282378.0,20088310.0,0.0,10008314.0,181039028.0,0.0,0.0,61524160.0,0.0,0.0,44702775.0,0.0,0.0,0.0,0.0,47782969.0,0.0,1701303.0,0.0,0.0,0.0,0.0,2232948.0,0.0,0.0,0.0,0.0,0.0
2000.0,PA,29032785.0,12647.0,28579466.0,12466336.0,1400.0,14599557.0,12000991.0,29632051.0,18957012.0,105287905.0,115928198.0,13454374.0,4090791.0,10109551.0,4280772.0,4668576.0,0.0,35273788.0,212312315.0,0.0,0.0,72292286.0,0.0,0.0,88633529.0,0.0,0.0,0.0,0.0,85789417.0,0.0,2184639.0,0.0,0.0,0.0,0.0,2600470.0,0.0,0.0,0.0,0.0,0.0
2000.0,PB,15441688.0,1272.0,21116678.0,49590112.0,0.0,7418497.0,22989322.0,21295556.0,470811.0,44841243.0,78033396.0,5509267.0,2389909.0,2454388.0,2042821.0,811188.0,0.0,2532548.0,131364078.0,0.0,0.0,35819921.0,0.0,0.0,33500275.0,0.0,0.0,0.0,0.0,92467279.0,0.0,1485113.0,0.0,0.0,0.0,0.0,50628673.0,0.0,0.0,0.0,0.0,0.0
2000.0,PE,113994044.0,7651.0,68302699.0,64263518.0,2315.0,44065029.0,124270564.0,102741865.0,3001083.0,245264439.0,241476751.0,122022087.0,9898374.0,37244065.0,8540561.0,9993433.0,0.0,33768142.0,597362621.0,0.0,0.0,165249419.0,0.0,0.0,126960779.0,0.0,0.0,0.0,0.0,125001485.0,0.0,9914360.0,0.0,0.0,0.0,0.0,6152358.0,0.0,0.0,0.0,0.0,0.0
2000.0,PI,4131846.0,276.0,9922475.0,20346943.0,0.0,1666351.0,4451768.0,13842215.0,120374.0,46092684.0,29798356.0,6121443.0,323892.0,1869930.0,632781.0,1946617.0,0.0,2056958.0,85336718.0,0.0,0.0,28869431.0,0.0,0.0,27090825.0,0.0,0.0,0.0,0.0,35117583.0,0.0,667460.0,0.0,0.0,0.0,0.0,675257.0,0.0,0.0,0.0,0.0,0.0
2000.0,PR,801005657.0,101638.0,68675577.0,65437479.0,354790374.0,507554846.0,401213956.0,175358169.0,85626367.0,618627963.0,527029648.0,444395991.0,59864550.0,58582044.0,125205406.0,23410819.0,0.0,898683629.0,1647956018.0,0.0,0.0,356143306.0,0.0,0.0,434100230.0,0.0,0.0,0.0,0.0,124019574.0,0.0,10364922.0,0.0,0.0,0.0,0.0,16130294.0,0.0,0.0,0.0,0.0,0.0
2000.0,RJ,665164034.0,1107016.0,274354398.0,311397567.0,22788319.0,344626889.0,654899710.0,673236838.0,330068195.0,3515210342.0,2843585245.0,1712964571.0,749492941.0,728926127.0,195134314.0,5049292.0,0.0,349237877.0,9442210859.0,0.0,0.0,2211414880.0,0.0,0.0,1741050967.0,0.0,0.0,0.0,0.0,582236096.0,0.0,37995456.0,0.0,0.0,0.0,0.0,64587292.0,0.0,0.0,0.0,0.0,0.0
2000.0,RN,11313955.0,570.0,20058969.0,15336309.0,32919.0,5934206.0,5162771.0,18151131.0,59718.0,43960640.0,66344504.0,7784517.0,1792154.0,4152482.0,183265.0,887929.0,0.0,889906.0,141139933.0,0.0,0.0,35558227.0,0.0,0.0,32728712.0,0.0,0.0,0.0,0.0,62272626.0,0.0,1372343.0,0.0,0.0,0.0,0.0,723507.0,0.0,0.0,0.0,0.0,0.0
