Caminhos Mais Curtos:
BA -> 2003.0: 1
BA -> 2004.0: 1
BA -> 2005.0: 1
BA -> 2006.0: 1
BA -> 2007.0: 1
BA -> 2008.0: 1
BA -> 2009.0: 1
BA -> 2010.0: 1
BA -> 2011.0: 1
BA -> 2012.0: 1
BA -> 2013.0: 1
BA -> 2014.0: 1
BA -> 2015.0: 1
BA -> 2016.0: 1
BA -> 2017.0: 1
BA -> 2018.0: 1
BA -> 2019.0: 1
BA -> 2020.0: 1
BA -> 2021.0: 1
BA -> 2022.0: 1
BA -> 2023.0: 1
BA -> 2024.0: 1
BA -> PA: 2
BA -> PI: 2
BA -> RR: 2
BA -> AC: 2
BA -> TO: 2
BA -> RJ: 2
BA -> RO: 2
BA -> RS: 2
BA -> MS: 2
BA -> PB: 2
BA -> AP: 2
BA -> DF: 2
BA -> PE: 2
BA -> RN: 2
BA -> ES: 2
BA -> AL: 2
BA -> MA: 2
BA -> MT: 2
BA -> PR: 2
BA -> GO: 2
BA -> SC: 2
BA -> SP: 2
BA -> AM: 2
BA -> SE: 2
BA -> MG: 2
BA -> CE: 2
CE -> CE: 0
CE -> 2000.0: 1
CE -> 2001.0: 1
CE -> 2002.0: 1
CE -> 2003.0: 1
CE -> 2004.0: 1
CE -> 2005.0: 1
CE -> 2006.0: 1
CE -> 2007.0: 1
CE -> 2008.0: 1
CE -> 2009.0: 1
CE -> 2010.0: 1
CE -> 2011.0: 1
CE -> 2012.0: 1
CE -> 2013.0: 1
CE -> 2014.0: 1
CE -> 2015.0: 1
CE -> 2016.0: 1
CE -> 2017.0: 1
CE -> 2018.0: 1
CE -> 2019.0: 1
CE -> 2020.0: 1
CE -> 2021.0: 1
CE -> 2022.0: 1
CE -> 2023.0: 1
CE -> 2024.0: 1
CE -> PA: 2
CE -> PI: 2
CE -> RR: 2
CE -> AC: 2
CE -> TO: 2
CE -> RJ: 2
CE -> RO: 2
CE -> RS: 2
CE -> MS: 2
CE -> PB: 2
CE -> AP: 2
CE -> DF: 2
CE -> BA: 2
CE -> PE: 2
CE -> RN: 2
CE -> ES: 2
CE -> AL: 2
CE -> MA: 2
CE -> MT: 2
CE -> PR: 2
CE -> GO: 2
CE -> SC: 2
CE -> SP: 2
CE -> AM: 2
CE -> SE: 2
CE -> MG: 2
DF -> DF: 0
DF -> 2000.0: 1
DF -> 2001.0: 1
DF -> 2002.0: 1
DF -> 2003.0: 1
DF -> 2004.0: 1
DF -> 2005.0: 1
DF -> 2006.0: 1
DF -> 2007.0: 1
DF -> 2008.0: 1
DF -> 2009.0: 1
DF -> 2010.0: 1
DF -> 2011.0: 1
DF -> 2012.0: 1
DF -> 2013.0: 1
DF -> 2014.0: 1
DF -> 2015.0: 1
DF -> 2016.0: 1
DF -> 2017.0: 1
DF -> 2018.0: 1
DF -> 2019.0: 1
DF -> 2020.0: 1
DF -> 2021.0: 1
DF -> 2022.0: 1
DF -> 2023.0: 1
DF -> 2024.0: 1
DF -> PA: 2
DF -> PI: 2
DF -> RR: 2
DF -> AC: 2
DF -> TO: 2
DF -> RJ: 2
DF -> RO: 2
DF -> RS: 2
DF -> MS: 2
DF -> PB: 2
DF -> AP: 2
DF -> BA: 2
DF -> PE: 2
DF -> RN: 2
DF -> ES: 2
DF -> AL: 2
DF -> MA: 2
DF -> MT: 2
DF -> PR: 2
DF -> GO: 2
DF -> SC: 2
DF -> SP: 2
DF -> AM: 2
DF -> SE: 2
DF -> MG: 2
DF -> CE: 2
ES -> ES: 0
ES -> 2000.0: 1
ES -> 2001.0: 1
ES -> 2002.0: 1
ES -> 2003.0: 1
ES -> 2004.0: 1
ES -> 2005.0: 1
ES -> 2006.0: 1
ES -> 2007.0: 1
ES -> 2008.0: 1
ES -> 2009.0: 1
ES -> 2010.0: 1
ES -> 2011.0: 1
ES -> 2012.0: 1
ES -> 2013.0: 1
ES -> 2014.0: 1
ES -> 2015.0: 1
ES -> 2016.0: 1
ES -> 2017.0: 1
ES -> 2018.0: 1
ES -> 2019.0: 1
ES -> 2020.0: 1
ES -> 2021.0: 1
ES -> 2022.0: 1
ES -> 2023.0: 1
ES -> 2024.0: 1
ES -> PA: 2
ES -> PI: 2
ES -> RR: 2
ES -> AC: 2
ES -> TO: 2
ES -> RJ: 2
ES -> RO: 2
ES -> RS: 2
ES -> MS: 2
ES -> PB: 2
ES -> AP: 2
ES -> DF: 2
ES -> BA: 2
ES -> PE: 2
ES -> RN: 2
ES -> AL: 2
ES -> MA: 2
ES -> MT: 2
ES -> PR: 2
ES -> GO: 2
ES -> SC: 2
ES -> SP: 2
ES -> AM: 2
ES -> SE: 2
ES -> MG: 2
ES -> CE: 2
GO -> GO: 0
GO -> 2000.0: 1
GO -> 2001.0: 1
GO -> 2002.0: 1
GO -> 2003.0: 1
GO -> 2004.0: 1
GO -> 2005.0: 1
GO -> 2006.0: 1
GO -> 2007.0: 1
GO -> 2008.0: 1
GO -> 2009.0: 1
GO -> 2010.0: 1
GO -> 2011.0: 1
GO -> 2012.0: 1
GO -> 2013.0: 1
GO -> 2014.0: 1
GO -> 2015.0: 1
GO -> 2016.0: 1
GO -> 2017.0: 1
GO -> 2018.0: 1
GO -> 2019.0: 1
GO -> 2020.0: 1
GO -> 2021.0: 1
GO -> 2022.0: 1
GO -> 2023.0: 1
GO -> 2024.0: 1
GO -> PA: 2
GO -> PI: 2
GO -> RR: 2
GO -> AC: 2
GO -> TO: 2
GO -> RJ: 2
GO -> RO: 2
GO -> RS: 2
GO -> MS: 2
GO -> PB: 2
GO -> AP: 2
GO -> DF: 2
GO -> BA: 2
GO -> PE: 2
GO -> RN: 2
GO -> ES: 2
GO -> AL: 2
GO -> MA: 2
GO -> MT: 2
GO -> PR: 2
GO -> SC: 2
GO -> SP: 2
GO -> AM: 2
GO -> SE: 2
GO -> MG: 2
GO -> CE: 2
MA -> MA: 0
MA -> 2000.0: 1
MA -> 2001.0: 1
MA -> 2002.0: 1
MA -> 2003.0: 1
MA -> 2004.0: 1
MA -> 2005.0: 1
MA -> 2006.0: 1
MA -> 2007.0: 1
MA -> 2008.0: 1
MA -> 2009.0: 1
MA -> 2010.0: 1
MA -> 2011.0: 1
MA -> 2012.0: 1
MA -> 2013.0: 1
MA -> 2014.0: 1
MA -> 2015.0: 1
MA -> 2016.0: 1
MA -> 2017.0: 1
MA -> 2018.0: 1
MA -> 2019.0: 1
MA -> 2020.0: 1
MA -> 2021.0: 1
MA -> 2022.0: 1
MA -> 2023.0: 1
MA -> 2024.0: 1
MA -> PA: 2
MA -> PI: 2
MA -> RR: 2
MA -> AC: 2
MA -> TO: 2
MA -> RJ: 2
MA -> RO: 2
MA -> RS: 2
MA -> MS: 2
MA -> PB: 2
MA -> AP: 2
MA -> DF: 2
MA -> BA: 2
MA -> PE: 2
MA -> RN: 2
MA -> ES: 2
MA -> AL: 2
MA -> MT: 2
MA -> PR: 2
MA -> GO: 2
MA -> SC: 2
MA -> SP: 2
MA -> AM: 2
MA -> SE: 2
MA -> MG: 2
MA -> CE: 2
MG -> MG: 0
MG -> 2000.0: 1
MG -> 2001.0: 1
MG -> 2002.0: 1
MG -> 2003.0: 1
MG -> 2004.0: 1
MG -> 2005.0: 1
MG -> 2006.0: 1
MG -> 2007.0: 1
MG -> 2008.0: 1
MG -> 2009.0: 1
MG -> 2010.0: 1
MG -> 2011.0: 1
MG -> 2012.0: 1
MG -> 2013.0: 1
MG -> 2014.0: 1
MG -> 2015.0: 1
MG -> 2016.0: 1
MG -> 2017.0: 1
MG -> 2018.0: 1
MG -> 2019.0: 1
MG -> 2020.0: 1
MG -> 2021.0: 1
MG -> 2022.0: 1
MG -> 2023.0: 1
MG -> 2024.0: 1
MG -> PA: 2
MG -> PI: 2
MG -> RR: 2
MG -> AC: 2
MG -> TO: 2
MG -> RJ: 2
MG -> RO: 2
MG -> RS: 2
MG -> MS: 2
MG -> PB: 2
MG -> AP: 2
MG -> DF: 2
MG -> BA: 2
MG -> PE: 2
MG -> RN: 2
MG -> ES: 2
MG -> AL: 2
MG -> MA: 2
MG -> MT: 2
MG -> PR: 2
MG -> GO: 2
MG -> SC: 2
MG -> SP: 2
MG -> AM: 2
MG -> SE: 2
MG -> CE: 2
MS -> MS: 0
MS -> 2000.0: 1
MS -> 2001.0: 1
MS -> 2002.0: 1
MS -> 2003.0: 1
MS -> 2004.0: 1
MS -> 2005.0: 1
MS -> 2006.0: 1
MS -> 2007.0: 1
MS -> 2008.0: 1
MS -> 2009.0: 1
MS -> 2010.0: 1
MS -> 2011.0: 1
MS -> 2012.0: 1
MS -> 2013.0: 1
MS -> 2014.0: 1
MS -> 2015.0: 1
MS -> 2016.0: 1
MS -> 2017.0: 1
MS -> 2018.0: 1
MS -> 2019.0: 1
MS -> 2020.0: 1
MS -> 2021.0: 1
MS -> 2022.0: 1
MS -> 2023.0: 1
MS -> 2024.0: 1
MS -> PA: 2
MS -> PI: 2
MS -> RR: 2
MS -> AC: 2
MS -> TO: 2
MS -> RJ: 2
MS -> RO: 2
MS -> RS: 2
MS -> PB: 2
MS -> AP: 2
MS -> DF: 2
MS -> BA: 2
MS -> PE: 2
MS -> RN: 2
MS -> ES: 2
MS -> AL: 2
MS -> MA: 2
MS -> MT: 2
MS -> PR: 2
MS -> GO: 2
MS -> SC: 2
MS -> SP: 2
MS -> AM: 2
MS -> SE: 2
MS -> MG: 2
MS -> CE: 2
MT -> MT: 0
MT -> 2000.0: 1
MT -> 2001.0: 1
MT -> 2002.0: 1
MT -> 2003.0: 1
MT -> 2004.0: 1
MT -> 2005.0: 1
MT -> 2006.0: 1
MT -> 2007.0: 1
MT -> 2008.0: 1
MT -> 2009.0: 1
MT -> 2010.0: 1
MT -> 2011.0: 1
MT -> 2012.0: 1
MT -> 2013.0: 1
MT -> 2014.0: 1
MT -> 2015.0: 1
MT -> 2016.0: 1
MT -> 2017.0: 1
MT -> 2018.0: 1
MT -> 2019.0: 1
MT -> 2020.0: 1
MT -> 2021.0: 1
MT -> 2022.0: 1
MT -> 2023.0: 1
MT -> 2024.0: 1
MT -> PA: 2
MT -> PI: 2
MT -> RR: 2
MT -> AC: 2
MT -> TO: 2
MT -> RJ: 2
MT -> RO: 2
MT -> RS: 2
MT -> MS: 2
MT -> PB: 2
MT -> AP: 2
MT -> DF: 2
MT -> BA: 2
MT -> PE: 2
MT -> RN: 2
MT -> ES: 2
MT -> AL: 2
MT -> MA: 2
MT -> PR: 2
MT -> GO: 2
MT -> SC: 2
MT -> SP: 2
MT -> AM: 2
MT -> SE: 2
MT -> MG: 2
MT -> CE: 2
PA -> PA: 0
PA -> 2000.0: 1
PA -> 2001.0: 1
PA -> 2002.0: 1
PA -> 2003.0: 1
PA -> 2004.0: 1
PA -> 2005.0: 1
PA -> 2006.0: 1
PA -> 2007.0: 1
